"","condition","work","effort","frustration","time_anticipated","deviation_count","HoursS1","HoursS2","EffortS1","EffortS2","FrustrationS1","FrustrationS2","TimeAnticipatedS1","TimeAnticipatedS2","DeviateHypotheses","DeviateVariables","DeviateDV","DeviateExclusions","DeviateModel","DeviateDirection","DeviateTest","DeviateIV","DeviateWhy","NumberOfPeople","Domain","Positions","TheoreticalKnowledge","MethodsKnowledge"
"115","preregistration",21,8,6,6,0,15,6,4,4,3,3,4,2,0,0,0,0,0,0,0,0,"",3,"Cognition","Doctoral student, Post-doc",1,3
"116","blinding",9,4,3,5,0,4,5,2,2,2,1,3,2,0,0,0,0,0,0,0,0,"",3,"Religion and Culture; Social Psychology","Post-doc",5,5
"117","blinding",25,8,8,7,1,15,10,5,3,6,2,4,3,0,0,0,0,1,0,0,0,"the fully specified covariance matrix of random effects could not be estimated (probably rank deficient), so we estimated only the diagonal part",4,"Methodology and Statistics; Health","Doctoral student",2,4
"118","blinding",50,10,4,7,1,30,20,5,5,2,2,3,4,0,0,0,0,1,0,0,0,"We had to change the estimator from WLSMV to DWLS. THis was done as R was not able to compare models with a robust estimator. The DWLS estimator was chosen as WLSMV is
the robust version of the DWLS estimator.",3,"Psychology (Other)","Post-doc, Assistant professor, Full professor",2,4
"120","blinding",8,7,4,6,0,5,3,5,2,2,2,3,3,0,0,0,0,0,0,0,0,"",2,"Psychology (Other); Religion and Culture","Doctoral student, Post-doc",3,4
"123","blinding",17,6,6,8,0,12,5,4,2,4,2,5,3,0,0,0,0,0,0,0,0,"",4,"Cognition","Doctoral student, Post-doc",5,4
"124","blinding",8.5,7,5,5,0,4.5,4,4,3,2,3,2,3,0,0,0,0,0,0,0,0,"",1,"Social Psychology","Assistant professor",3,4
"125","blinding",35,8,6,6,0,15,20,2,6,2,4,2,4,0,0,0,0,0,0,0,0,"",3,"Cognition; Social Psychology","Doctoral student",2,4
"126","preregistration",45,8,3,6,0,25,20,5,3,1,2,4,2,0,0,0,0,0,0,0,0,"",4,"Social Psychology; Health","Full professor",3,5
"127","preregistration",4,5,8,3,0,2,2,2,3,4,4,1,2,0,0,0,0,0,0,0,0,"",1,"Health","",1,3
"128","blinding",11,5,5,6,1,9,2,3,2,4,1,3,3,0,0,0,1,0,0,0,0,"Non-sensical/impossible values on age (e.g. 1)",3,"Cognition","Doctoral student, Post-doc",2,4
"129","preregistration",27,8,8,6,0,24,3,5,3,1,7,3,3,0,0,0,0,0,0,0,0,"",2,"Methodology and Statistics","Doctoral student",1,5
"130","preregistration",45,10,9,9,0,25,20,4,6,4,5,4,5,0,0,0,0,0,0,0,0,"",4,"Cognition; Methodology and Statistics","Doctoral student",2,4
"132","blinding",50,10,8,8,2,20,30,5,5,3,5,4,4,0,1,0,1,0,0,0,0,"Due to the lack of time we tried to get a simpler model. However, the fit was not good.",2,"Methodology and Statistics; Cognition","Doctoral student",1,4
"133","preregistration",16.5,8,8,6,0,4.5,12,4,4,4,4,3,3,0,0,0,0,0,0,0,0,"",2,"Health","Associate professor",5,5
"134","preregistration",16.5,6,3,5,1,15,1.5,4,2,2,1,4,1,0,0,0,0,0,0,0,0,"Mixed model did not always converge when bootstrapping confidence intervals, so I changed the optimizer (no effect on results)",1,"Health","Post-doc",3,3
"135","preregistration",155,13,6,9,2,15,140,6,7,2,4,4,5,0,0,0,1,0,0,0,1,"We realized that there were cases where participants were minors (as young as age 0). We excluded these cases given uncertainties revolving around whether proper consent procedures were in place and/or the reported age was inaccurate.

We also recoded gender into a binary variable where gender was treated as missing for participants who selected ""other.""",2,"Psychology (Other); Social Psychology","Post-doc, Assistant professor",5,4
"137","blinding",6,7,6,6,0,2,4,3,4,2,4,3,3,0,0,0,0,0,0,0,0,"",2,"Health","Post-doc",3,4
"138","blinding",95,10,13,9,1,70,25,5,5,7,6,5,4,0,1,0,0,0,0,0,0,"Included all interactions between religiosity variables instead of focused interactions, dropped interactions with GDP. 

We did not further check the model misspecifications. If we were to publish our results as a team, we would probably carefully check the data and models and try to address these. We encountered various error messages while running our models (we did not follow them up).

Importantly, as noted in previous communications, there seem to be problems with the data. We did not carefully check the invariance tests again, but it seems that the relative invariance parameters changed, suggesting problems with the blinding procedure and/or data. ",3,"Religion and Culture; Cognition","Doctoral student, Post-doc, Full professor",4,4
"140","preregistration",8,9,7,7,1,3,5,5,4,4,3,4,3,0,0,0,0,0,0,1,0,"It turned out the exact combination of estimation settings for the standard errors (Satorra-Bentler correction for non-normality, cluster-robust standard errors, and bootstrapping) was not available in Mplus.",1,"Psychology (Other)","Full professor",1,4
"144","preregistration",56,10,5,8,1,24,32,5,5,3,2,4,4,0,0,0,1,0,0,0,0,"(1) We excluded participants at age lower than 16. The initial analysis plan assumed that only adult participants had been allowed to participate. Based on the information received from the project leader, we implemented the current exclusion criteria (< 16). (2) We standardized the independent variables. The initial analysis plan consisted of unstandardized regression coefficient. Based on the information received from the project leader, we realized that it was expected to present standardized coefficients (effect size). The current analysis includes standardized regression coefficient. (3) In order improve plotting interaction effect, we modified the initial code by adding a chunk that utilizes emmeans function in R. This change was implemented in order to speed up the analysis; the value use was N - 1 = 10163. The implemented code: emmeans::emm_options(pbkrtest.limit = 10163. (4) For the reproducibility purpose, all analysis were prepared and carried out in R, and then, knitted to an R Markdown document.",2,"Psychology (Other); Cognition","Assistant professor",2,4
"145","blinding",19,8,7,6,2,3,16,3,5,3,4,3,3,0,1,0,1,0,0,0,0,"I additionally excluded participants from India, as this was a very small group (n = 7) and the only ones identifying with Hinduism. Furthermore, I left out the control variable at country level (gdp) due to difficulties specifying the model ",1,"Religion and Culture; Social Psychology","Post-doc",4,4
"147","blinding",78,13,7,3,0,48,30,6,7,4,3,2,1,0,0,0,0,0,0,0,0,"",1,"Health","Doctoral student",3,4
"148","preregistration",80,14,6,8,0,30,50,7,7,4,2,3,5,0,0,0,0,0,0,0,0,"",2,"Social Psychology","Doctoral student",4,4
"149","preregistration",120,13,9,8,1,60,60,6,7,4,5,4,4,0,0,0,0,0,0,0,0,"We realized we needed to provide standardized Betas, so we used a z-score calculation before running our analyses, which is included in the final syntax. We communicated with the organizers prior to this deviation.",3,"Health; Social Psychology","Associate professor, Full professor",4,4
"150","blinding",33,11,5,6,0,18,15,6,5,3,2,3,3,0,0,0,0,0,0,0,0,"",2,"Social Psychology; Religion and Culture","Doctoral student, Associate professor",3,4
"151","blinding",48,11,3,6,0,8,40,5,6,2,1,3,3,0,0,0,0,0,0,0,0,"",5,"Religion and Culture","Assistant professor",4,4
"152","blinding",160,12,6,8,0,80,80,6,6,3,3,4,4,0,0,0,0,0,0,0,0,"",2,"Psychology (Other); Methodology and Statistics","Doctoral student, Post-doc",2,4
"153","preregistration",18,5,2,4,0,8,10,2,3,1,1,1,3,0,0,0,0,0,0,0,0,"",2,"Methodology and Statistics","Post-doc",1,3
"154","preregistration",NA,NA,NA,NA,0,NA,0.5,NA,1,NA,1,NA,1,0,0,0,0,0,0,0,0,"",1,"Methodology and Statistics","Full professor",2,5
"155","preregistration",25,8,5,5,0,5,20,4,4,3,2,2,3,0,0,0,0,0,0,0,0,"",2,"Cognition","Post-doc, Associate professor",1,5
"156","preregistration",7,5,5,6,0,3,4,3,2,3,2,3,3,0,0,0,0,0,0,0,0,"",4,"Health","",2,4
"157","preregistration",18,9,5,6,0,15,3,5,4,3,2,3,3,0,0,0,0,0,0,0,0,"",2,"Social Psychology","Doctoral student",3,4
"158","preregistration",10,9,6,7,3,4,6,6,3,5,1,4,3,0,1,0,1,0,0,0,1,"My analysis plan was not complete with respect to the data. I was unable to compute BF on time as well.",1,"Methodology and Statistics","",2,4
"159","blinding",24,5,3,7,0,22,2,4,1,2,1,4,3,0,0,0,0,0,0,0,0,"",1,"Methodology and Statistics; Cognition","Post-doc, Assistant professor, Associate professor",1,5
