"Team","Time_pre_survey","Consent","NumberOfPeople","FieldRaw","Positions","TheoreticalKnowledge","MethodsKnowledge","EstimationRQ1","EstimationRQ2","Field","condition","Time_mid_survey","ESunit","Time_post_survey","AnalyticalApproach","StatsDetail","IV1","DV1","Covariates1","ESunit1","ES1","Inference1","OtherSteps1","Evidence1","Relevance1","AnswerRQ1","IV2","DV2","Covariates2","ESunit2","ES2","Inference2","OtherSteps2","Evidence2","Relevance2","AnswerRQ2","SuitableApproach","SuitableData1","SuitableData2","Deviate","DeviateHypotheses","DeviateVariables","DeviateDV","DeviateExclusions","DeviateModel","DeviateDirection","DeviateWhy","Comments","Coauthors","CoauthorsMaybe","DeviateTest","DeviateIV","N1","N2","Standardized_ES_1","lower_CI_1","upper_CI_1","MARP_ES_type_1","Standardized_ES_2","lower_CI_2","upper_CI_2","MARP_ES_type_2","Additional_ES_RQ1","Additional_ES_RQ2","Explain_ES","Domain","work","effort","frustration","deviation_count","time_anticipated"
38,"2020-11-20 13:21:54","Yes, I consent",2,"Political Psychology; Prejudice; ","Doctoral student, Associate professor",2,5,5,3,"Political Psychology; Prejudice; ","preregistration","2020-12-17 15:08:46","To test H1, effect sizes will be estimated through Eta Squared. To test H2, effect size will be estimated through Test statistic S.","2021-02-11 15:31:45","One-way ANOVA to test H1 and network analyses to test H2","For research question 1:      The level of religiosity was operationalized through the componential score of the variables assessing religiosity (i.e. “rel_1” [frequency of service attendance], “rel_2” [frequency of prayer], “rel_3” [self-identification as religious, not religious or atheist], “rel_4” [belong to denomination], “rel_5” [belief in God/Gods], “rel_6”[belief in afterlife], “rel_7” [spirituality], “rel_8” [importance of religious lifestyle], “rel_9” [importance of belief in God/Gods]). Hence, a principal component analysis specifying that one component should be extracted was conducted, and componential scores were obtained through the regression method. Participants (ntotal =  10,535) were then split based on the interquartile range of componential scores, resulting in four distinct groups. 
To test Hypothesis 1, a one-way ANOVA was conducted considering the groups obtained by the interquartile range of componential scores as the independent variable and the average of all 18 well-being items (indexed by the variable “wb_overall_mean”) as the dependent variable. No covariates were inserted in the model. Results suggested that the more one is religious, the higher the overall well-being (F (1, 10533) = 131.10, p < .001, η² = .01, 95% Confidence Interval = [.01, .02]), such that the group with lowest componential score (Group 1 - M = 3.62, SD = .65) had a similar average of well-being in comparison to the group with the second-lowest componential score (Group 2 - M = 3.60, SD = .62), but both were lower than the third (Group 3 - M = 3.66, SD = .59) and fourth groups (Group 4 - M = 3.80, SD = .55). Although not pre-registered, we conducted post-hoc analyses using the Tukey method, and it indicated statistically significant differences between scores of group 4 versus group 1 (p < .001), group 2 (p < .001) and group 3 (p < .001). Furthermore, the scores of group 3 were also significantly higher than the scores of group 2 (p = .005). Hypothesis 1 was thus supported.

For research question 2: Although we had pre-registered that “as there are no missing data on well-being, religiosity and perceived cultural norms, missing data will not be an issue”, we observed that one of the variables assessing well-being (“wb_soc_3”) had 995 missing cases. These cases were thus deleted through the listwise method. 
Participants were split based on the perceived cultural norms of religion. Therefore, we calculated the mean of the two variables assessing it (“cnorm_1” [importance of religious lifestyle for average person in country], “cnorm_2” [importance of belief in God/Gods for average person in country]) and two groups were created based on the median score (.38), separating those with lower vs higher perceived cultural norms levels. Afterward, two independent partial correlation networks were assessed. 
Network analyses provide a visualization of the association between variables through nodes and edges. For partial correlation networks, each node represents a variable and each edge represents their partial association, such that positive associations are represented by green edges and negative associations are represented by red edges (Epskamp et al., 2012). In the present study, the networks were obtained through the LASSO (Least Absolute Shrinkage and Selection Operator) regularization technique, using the tuning parameter λ = 0.5 and the EBIC (Extended Bayesian Information Criterion) selection method (Friedman et al., 2008). 
To test Hypothesis 2, two distinct networks were assessed. Both assessed the partial correlations between the variables indexing religiosity (“rel_1”, “rel_2”, “rel_3”, “rel_4”, “rel_5”, “rel_6”, “rel_7”, “rel_8”, “rel_9”) and the variables indexing well-being (“wb_gen_1”, “wb_gen_2”, “wb_phys_1”, “wb_phys_2”, “wb_phys_3”, “wb_phys_4”, “wb_phys_5”, “wb_phys_6”, “wb_phys_7”, “wb_psych_1”, “wb_psych_2”, “wb_psych_3”, “wb_psych_4”, “wb_psych_5”, “wb_psych_6”, “wb_soc_1”, “wb_soc_2”, “wb_soc_3”). However, the first network only considered the data of the group with lower perceived cultural norms of religion (mean score ≤ .38, ranging from 0 to .38, n = 5,055) and the second network only considered the data of the group with higher perceived cultural norms of religion (mean score > .38, ranging from .50 to 1, n = 4,485). The global connectivity of these networks (i.e. the weighted absolute sum of all edges in the network) was compared to verify if the connectivity between religiosity and well-being differed across groups with lower vs higher levels of perceived cultural norms of religion (van Borkulo et al., 2016).
Results suggested that the perceived cultural norms of religion do not significantly affect the relationship between religiosity and well-being. For instance, the global connectivity of the variables in the group with lower levels of perceived cultural norms (12.95) was not significantly different (S = .28, p =.32) than its higher counterpart (13.22), rejecting our Hypothesis 2. The partial correlation networks are depicted in Figures 1 and 2, available at the document uploaded in the OSF folder.","     The level of religiosity was operationalized through the componential score of the variables assessing religiosity (i.e. “rel_1” [frequency of service attendance], “rel_2” [frequency of prayer], “rel_3” [self-identification as religious, not religious or atheist], “rel_4” [belong to denomination], “rel_5” [belief in God/Gods], “rel_6”[belief in afterlife], “rel_7” [spirituality], “rel_8” [importance of religious lifestyle], “rel_9” [importance of belief in God/Gods]).","We used the variable ""wb_overall_mean"".","None","Eta squared",".01 [.01, .02]","p < .001","-.-","Yes, there is good evidence for a positive relation","Yes",5,"Participants were split based on the perceived cultural norms of religion. Therefore, we calculated the mean of the two variables assessing it (“cnorm_1” [importance of religious lifestyle for average person in country], “cnorm_2” [importance of belief in God/Gods for average person in country]) and two groups were created based on the median score (.38), separating those with lower vs higher perceived cultural norms levels. Afterward, two independent partial correlation networks were assessed.","To test Hypothesis 2, two distinct networks were assessed. Both assessed the partial correlations between the variables indexing religiosity (“rel_1”, “rel_2”, “rel_3”, “rel_4”, “rel_5”, “rel_6”, “rel_7”, “rel_8”, “rel_9”) and the variables indexing well-being (“wb_gen_1”, “wb_gen_2”, “wb_phys_1”, “wb_phys_2”, “wb_phys_3”, “wb_phys_4”, “wb_phys_5”, “wb_phys_6”, “wb_phys_7”, “wb_psych_1”, “wb_psych_2”, “wb_psych_3”, “wb_psych_4”, “wb_psych_5”, “wb_psych_6”, “wb_soc_1”, “wb_soc_2”, “wb_soc_3”). However, the first network only considered the data of the group with lower perceived cultural norms of religion (mean score ≤ .38, ranging from 0 to .38, n = 5,055) and the second network only considered the data of the group with higher perceived cultural norms of religion (mean score > .38, ranging from .50 to 1, n = 4,485).","None","S (see Van Borkulo et al., 2016)","0.28","0.32","-.-","No, there is good evidence against the effect of perceived cultural norms","No",3,6,6,6,1,0,0,0,1,0,0,"As specified in the file uploaded to the OSF folder, we conducted not pre-registered post-hoc analyses using the Tukey method to further test Hypothesis 1. Moreover, we had pre-registered that “as there are no missing data on well-being, religiosity and perceived cultural norms, missing data will not be an issue”, but we observed that one of the variables assessing well-being (“wb_soc_3”) had 995 missing cases. These cases were thus deleted through the listwise method. These were the deviations from pre-registration.","I already uploaded the R code on the osf page and a document describing the analysis as in a paper.","Yes","",1,0,10535,5055,0.012,0.008,0.017,"eta-squared",NA,NA,NA,"","","Results suggested that the perceived cultural norms of religion do not significantly affect the relationship between religiosity and well-being. That is, the global connectivity of the variables in the group with lower levels of perceived cultural norms was not significantly different (S = .28, p =.32) than its higher counterpart.","","Social Psychology ",11,9,9,2,9
39,"2020-11-20 13:43:09","Yes, I consent",4,"cognitive science of religion, reasoning, political psychology","Post-doc, Full professor",3,3,5,5,"cognitive science of religion, reasoning, political psychology","preregistration","2021-01-14 21:45:40","regression coefficent (beta) + 95% Highest Posterior Density Interval","2021-02-26 11:21:48","Bayesian multilevel linear regression.","Bayesian multilevel linear regressions to model the effect of religiosity, cultural norms, with age, gender, education and ses as covariates, and country on wellbeing.

The code and all outputs can be found on github:
https://github.com/justinsulik/marp
","We take the mean of rel_1, rel_2, rel_5, and rel_6 to create a single measure we call “religiosity”.

We take the mean of cnorm_1 and cnorm_2 to create a single measure of perceived cultural norms of religiosity we call ""cultural norm”.
","We take the mean of wb_gen_1, wb_gen_2, wb_phys_1, wb_phys_2, wb_psych_1, wb_psych_2, wb_psych_3, wb_phys_3, wb_psych_4, wb_phys_4, wb_phys_5, wb_phys_6, wb_phys_7, wb_psych_5, wb_soc_1, wb_soc_2, wb_psych_6, and wb_soc_3 to create a single measure we call “well-being"".","age, gender_male, gender_other, education, ses
","standardised regression coefficient (beta)","main effect of religiosity: beta = 0.10 [0.07, 0.12] when using skew normal distribution (see pre-registration and results section for justification of skew normal distribution over normal distribution).","8000","We pre-registered this decision rule in our analysis plan:
“In case of a non-normal distribution in the outcome variable, we will additionally model the data with alternative plausible family parameters (e.g., “skew_normal” in the “brms” package in R). In that case, we will perform leave-one-out crossvalidation to compare models, and accept a less parsimonious model if the difference in expected log pointwise predictive density (elpd_diff) is at least double the standard error in the same (se_diff).”

While we focused on the analysis using skew_normal we also report results using a normal distribution in our documents (betas and 95% CIs for RQ1 and RQ2 are almost identical). 
","Yes, there is good evidence for a positive relation","No",4,"We take the mean of rel_1, rel_2, rel_5, and rel_6 to create a single measure we call “religiosity”.

We take the mean of cnorm_1 and cnorm_2 to create a single measure of perceived cultural norms of religiosity we call ""cultural norm”.

","We take the mean of wb_gen_1, wb_gen_2, wb_phys_1, wb_phys_2, wb_psych_1, wb_psych_2, wb_psych_3, wb_phys_3, wb_psych_4, wb_phys_4, wb_phys_5, wb_phys_6, wb_phys_7, wb_psych_5, wb_soc_1, wb_soc_2, wb_psych_6, and wb_soc_3 to create a single measure we call “well-being"".","age*norms, gender_male*norms,  gender_other*norms, education*norms, SES*norms","Standardised regression coefficient (beta)","interaction religiosity:norms beta = 0.03 [0.01, 0.05]","4.75","We pre-registered this decision rule in our analysis plan:
“In case of a non-normal distribution in the outcome variable, we will additionally model the data with alternative plausible family parameters (e.g., “skew_normal” in the “brms” package in R). In that case, we will perform leave-one-out crossvalidation to compare models, and accept a less parsimonious model if the difference in expected log pointwise predictive density (elpd_diff) is at least double the standard error in the same (se_diff).”

While we focused on the analysis using skew_normal we also report results using a normal distribution in our documents (betas and 95% CIs for RQ1 and RQ2 are almost identical). 
","Yes, there is good evidence for the effect of perceived cultural norms","No",4,5,5,5,0,0,0,0,0,0,0,"","","Yes","",0,0,10159,10159,0.097,0.072,0.123,"beta",0.031,0.008,0.052,"beta","","","","Cognition; Religion and Culture; Social Psychology",18,10,7,0,7
40,"2020-11-20 14:10:06","Yes, I consent",1,"meta-science, cognitive psychology","Post-doc, Assistant professor, Associate professor",1,5,5,NA,"meta-science, cognitive psychology","blinding","2021-01-07 17:00:13","beta, CI","2021-02-17 12:12:57","Bayesian ANOVA & ANCOVA","Analyses were conducted with the lmBF function in the BayesFactor
R-package. This function calculates default Bayes factors for
regression and ANOVA designs, the analysis is identical to that
provided by JASP. For both the fixed and the continuous effect, we
used a 'medium' prior, but we performed sensitivity analyses too.","Item rel_3: ""self-identification"". We are not interested in the
distinction between ""not religious"" (coded 0.5) and ""atheist"" (coded
0), so we combined these for further analysis.","Item wb_gen_1: ""quality of life general"".","The average of cnorm_1 and cnorm_2.","beta","0.145 [0.107, 0.18]","BF_{IV,NULL}: 5520981056730.8","none","Yes, there is good evidence for a positive relation","Yes",4,"Item rel_3: ""self-identification"". We are not interested in the
distinction between ""not religious"" (coded 0.5) and ""atheist"" (coded
0), so we combined these for further analysis.","Item wb_gen_1: ""quality of life general"".","The average of cnorm_1 and cnorm_2.","beta","-0.019 [-0.084, 0.042]","0.027","none","No, the evidence is ambiguous","No",4,7,5,5,0,0,0,0,0,0,0,"","-","Yes","",0,0,10195,10195,0.171,0.13,0.211,"beta",-0.006,-0.025,0.014,"beta","","","","Methodology and Statistics; Cognition",23,7,3,0,7
41,"2020-11-26 15:40:05","Yes, I consent",2,"meta-research; psychometrics","Doctoral student, Assistant professor",2,4,5,4,"meta-research; psychometrics","preregistration","2021-01-12 15:14:54","standardized regression coefficient (beta) + CI","2021-02-17 20:06:43","Multilevel linear regression with random intercepts.","For both hypotheses we fit a mixed effects model with well-being as the dependent variable. For hypothesis 1, we entered religiosity, SES and education as predictor variables. For hypothesis 2, we entered religiosity, SES, education, cultural norms, and the interaction between religiosity and cultural norms as predictor variables. In both models, we allowed the intercepts to vary per country. ","The independent variable for RQ1 was religiosity. The relevant items in the data were rel_1 to rel_9. First, we transformed rel_3 to 0 = not religious or atheist and 1 = religious.

Next, we grand mean centered all religion variables and performed a polychoric exploratory factor analysis on the total set of religiosity items. Based on the results, we decided to use the solutions from the two-factor model, and we focused only on items loading on factor 1. This meant excluding items rel_1 and rel_2, which loaded strongly on factor 2. 
Finally, we included all items belonging to factor 1 (i.e., items with a factor loading > 0.3: items rel_3 until rel_9) and calculated Bartlett Factor Scores for each participant. These scores were taken as the values for the variable religiosity.","The dependent variable for RQ1 and RQ2 was wellbeing, which was operationalized the same for both research questions. 

First, we grand mean centered all wellbeing items. Next, we performed a second-order CFA on the well-being scale, according the following structure: the highest order factor was well-being, with the four lower order factors general well-being (wb_gen_1 and wb_gen_2), physical well-being (wb_phys_1 to wb_phys_7), psychological well-being (wb_psych_1 to wb_psych_6), and social well-being (wb_soc_1 to wb_soc_3). 

Based on the p-value for the chi-square test (p < .001) and the RMSEA (= .0847), we concluded that the model did not fit the data perfectly nor approximately. We therefore used the variable wb_overall_mean as our dependent variable, which we grand mean centered as well before using it in the analyses.","SES: we grand mean centered the SES variable and included it in both our analyses for RQ1 and RQ2.

Education: we grand mean centered the education variable and included it in both our analyses for RQ1 and RQ2.","Standardized regression coefficient (beta)","0.057 [0.039, 0.075]","< .001","We checked the assumptions of the normality of the residuals, normality of random effects, homoscedasticity, and linearity. We did not find any systematic patterns. We did not estimate the correlation between the random effects and the covariates (as stated in the preregistration), but we did plot them against each other, which did not show any notable results. ","No, the evidence is ambiguous","No",5,"The independent variables for RQ2 were religiosity, cultural norms, and the interaction term religiosity * cultural norms.

Religiosity was operationalized the same for RQ2 as RQ1.

To operationalize perceived cultural norms of religion, we grand mean centered the two variables cnorm_1 and cnorm_2, and calculated their average.

The interaction term of religiosity * cultural norms was created by multiplying the religiosity by cultural norms score for each participant. ","The dependent variable for RQ1 and RQ2 was wellbeing, which was operationalized the same for both research questions. 

First, we grand mean centered all wellbeing items. Next, we performed a second-order CFA on the well-being scale, according the following structure: the highest order factor was well-being, with the four lower order factors general well-being (wb_gen_1 and wb_gen_2), physical well-being (wb_phys_1 to wb_phys_7), psychological well-being (wb_psych_1 to wb_psych_6), and social well-being (wb_soc_1 to wb_soc_3). 

Based on the p-value for the chi-square test (p < .001) and the RMSEA (= .0847), we concluded that the model did not fit the data perfectly nor approximately. We therefore used the variable wb_overall_mean as our dependent variable, which we grand mean centered as well before using it in the analyses.","SES: we grand mean centered the SES variable and included it in both our analyses for RQ1 and RQ2.

Education: we grand mean centered the education variable and included it in both our analyses for RQ1 and RQ2.","Standardized regression coefficient (beta)","0.036 [0.018, 0.054]","0","We checked the assumptions of the normality of the residuals, normality of random effects, homoscedasticity, and linearity. We did not find any systematic patterns. We did not estimate the correlation between the random effects and the covariates (as stated in the preregistration), but we did plot them against each other, which did not show any notable results. ","No, the evidence is ambiguous","No",4,6,5,5,0,0,0,0,0,0,0,"","","Yes","",0,0,10190,10190,0.055,0.037,0.073,"beta",0.036,0.018,0.054,"beta","","","","Methodology and Statistics",46,9,6,0,7
42,"2020-11-20 14:05:53","Yes, I consent",1,"comparative sociology","Assistant professor",2,4,5,4,"comparative sociology","preregistration","2020-12-27 12:44:22","Standardized regression coefficients and 95% confidence intervals","2021-02-28 20:50:45","hierarchical linear model","linear model of well-being with country random effects (individuals nested in countries)","Religiosity scale: average of rel_1, rel_2, rel_5, rel_6, rel_7, rel_8, rel_9","Well-being scale constructed as the average of all 18 well-being items (wb_overall_mean)","age, gender, education, SES, minority status (ethnic or religious) and GDP per capita of the country","standardised regression coefficient (beta)","0.124707 [0.09394812, 0.157682947]","8.051","none","Yes, there is good evidence for a positive relation","Yes",7,"Religiosity scale: average of rel_1, rel_2, rel_5, rel_6, rel_7, rel_8, rel_9; 
Religious norm scale: average of cnorm_1 and cnorm_2","Well-being scale constructed as the average of all 18 well-being items: wb_overall_mean
","age, gender, education, SES, minority status (ethnic or religious), GDP per capita of the country","standardised regression coefficient (beta)","0.038520 [0.015874591, 0.0608834105]","p-value: 3.254","none","Yes, there is good evidence for the effect of perceived cultural norms","Yes",7,6,5,5,0,0,0,0,0,0,0,"","Thank you for preparing and organizing everything so well! I think the only thing that could be improved is a better description of the data (e.g., how many samples were student only) or - even better - a synthetic dataset available at Stage 1 to prepare the syntax without seeing the real data.","Yes","",0,0,8986,8986,0.125,0.094,0.155,"beta",0.037,0.013,0.06,"beta","","","","Religion and Culture",8,11,7,0,7
44,"2020-11-20 14:26:14","Yes, I consent",2,"Social psychology","Assistant professor",2,4,3,5,"Social psychology","blinding","2020-12-22 11:28:05","Regression coefficient (centered)","2021-04-20 19:50:34","Multilevel linear regression","We conducted two multilevel regression models using the lme4 (Bates et al., 2015) and lmerTest (Kuznetsova et al., 2016) packages in R (R Core Team, 2021). In both models, well-being was regressed onto individual-level and country-level religion scores, as well as several covariates. In the second model, we additionally added an interaction term between individual-level religion and cultural norm scores. By-country random intercepts were included in both models.","All nine religiosity items (rel_1 to rel_9) were used, averaged together, and z-standardized.","All well-being related items (wb_gen_1 to wb_soc_3), except the pre-existing average scores (wb_overall_mean, wb_phys_mean, wb_psych_mean, wb_soc_mean), were averaged into a single measure of well-being and z-standardized.","GDP, age, gender, SES, and education","Standardized regression coefficient","0.084 [0.080, 0.12]","0","None","Yes, there is good evidence for a positive relation","",5,"All nine religiosity items (rel_1 to rel_9) were used, averaged together, and z-standardized. The two cultural norm items were combined into a single mean score and z-standardized. Their interaction was included in the model.","All well-being related items (wb_gen_1 to wb_soc_3), except the pre-existing average scores (wb_overall_mean, wb_phys_mean, wb_psych_mean, wb_soc_mean), were averaged and z-standardized.","GDP, age, gender, SES, and education","Standardized regression coefficient","0.040 [0.022, 0.059]","0.000016","None","Yes, there is good evidence for the effect of perceived cultural norms","",5,5,5,5,0,0,0,0,0,0,0,"","Thanks for the project!","Yes","",0,0,9169,9169,0.099,0.079,0.119,"beta",0.04,0.022,0.058,"beta","","","","Social Psychology",7,4,5,0,5
45,"2020-11-20 14:58:47","Yes, I consent",1,"Social psychology","Full professor",3,5,7,6,"Social psychology","blinding","2020-12-03 15:13:51","raw regression coefficient + credible interval.  (I know of no general way to provide standardized coefficient in a multilevel model.)","2020-12-09 15:59:44","Multilevel regression","The analytic approach is a multilevel regression, with individual nested within country.  Random slopes and intercepts by country are included for the individual-level predictors.  Individual-level continuous predictors are centered within each country.","A simple unit-weighted scale of the 9 religiosity indicators, after checking that they form a strong single factor.","The provided wb_overall_mean variable, after checking that the 18 items form a strong single factor. ","percnormC + ageC + gender + sesC + educationC + gdp_scaled.  Continuous individual-level covariates are centered within country (indicated by C suffix).  Gender is a factor, treated as 2 dummy variables. ","Raw regression coefficient"," +0.185  [+.134, +.237]","Not calculated exactly, but approximately 6e-7","Important: I excluded Japan from all analyses, due to its extreme outlier status on the well-being measure. ","Yes, there is good evidence for a positive relation","Yes",7,"percnorm (centered within country)","wb_overall_mean","ageC + genderOth + genderWom + sesC + educationC + gdp_scaled  [C indicates centered by country; two gender dummy variables]","raw regression coefficient for the interaction"," +0.142  [-.049, +.336].","","As above: Japan excluded.   More important, I also examined  the interaction with a country aggregate of percnorm, i.e., a country-level variable.  That interaction is significant, with effect size +0.652, [+0.361,  +0.971].  So there is a contextual effect (effect of personal religiosity on well-being is greater in cultures with stronger perceived religious norm).  But this is different from what I interpret as the RQ2 you specified, which was the interaction with the INDIVIDUAL'S perceived cultural norm.   ","No, the evidence is ambiguous","No",3,7,7,7,0,0,0,0,0,0,0,"","I think the distinction between the individual-level perceived norm and the country-level (aggregated) norm is conceptually important.  And as my results show, the interaction of personal religiosity by the norm is significant only with the country-level aggregate.   The stated RQ2 is possibly ambiguous as to which of these you wanted us to examine.","Yes","",0,0,9771,9771,0.087,0.063,0.111,"beta",0.014,-0.005,0.034,"beta","","","","Social Psychology",9,6,3,0,5
46,"2020-11-20 14:59:56","Yes, I consent",1,"social psychology (psychology of peace and violence)","Doctoral student",2,4,5,5,"social psychology (psychology of peace and violence)","preregistration","2020-12-03 17:53:01","I am going to compute multilevel models as the data are nested in countries so a regression weight will be used. I am happy to also run the analyses separately for each country individually for which a a standardized regression coefficient (beta) + confidence/credible interval will be outputted.","2020-12-09 15:49:30","Correlations, Multilevel Modelling (Regressions)","Multilevel models (also known as hierarchical linear models) are statistical models of parameters that vary at more than one level. In this case, the second level is country.

Since the data are nested in 24 different countries, to account for country level variability in the outcome, I will compute multilevel models (using Mplus version 8). 

I will estimate four models. The first model will be an unconditional model so that I can get an estimate of the ICC (intraclass correlation) and variability in the outcome (τ00). Α second model will follow, in which religiosity is inserted as a predictor of the outcome. In a third model, the interaction with cultural norms about religiosity will be inserted in the model. In a fourth and final model, the effect of important demographic covariates will be accounted for. These covariates include: gender, age, SES and education. Such an approach is recommended by Raudenbush and Bryk (2002). ","I operationalized religiosity as the sum of rel_1-rel_9.","I operationalized meaningfulness by using the variable wb_psych_2","I used age, socioeconomic status, education level, and gender (male = 1, female = 1) as covariates. All linear variables (i.e., all the covariates except gender) were group mean centered.","The effect is captured with a b value (regression coefficient). However for the effect at level 2, I am calculating the proportion of variance explained by adding religiosity relative to the unconditional model (based on the following equation: (t00unconditional - t00conditional)/t00unconditional","Based on the percentage of variance explained formula: (t00unconditional - t00conditional)/t00unconditional; For religiosity that is: (.084-.068)/.084= .19   i.e., 19% of the variance in meaningfulness is explained by religiosity","For the association of religiosity with meaningfulness (controlling for all covariates and religious norms as a predictor), across all people: γ10 = .10, SE = .004, p < .001  For the association of religiosity with meaningfulness across the 24 countries: γ01 = .10, SE = .04, p = .019","I run descriptive statistics to look at the data, exploratory factor analyses for the predictor, reliability analyses for the predictor and outcome, and then correlations (collapsing across countries and by country) and a Hayes Process Model 1 to examine my hypothesis before accounting for variability due to being nested in countries","Yes, there is good evidence for a positive relation","Yes",5,"For religious norms (i.e., the moderator) I used the average of the following two items (cnorm_1-cnorm_2). The same predictor as RQ1 was included","The same dependent variable as RQ1 was included","The same covariates as RQ1 was included","regression coefficient (b)","γ30 = .08, SE = .01, p < .001","0.001","--","Yes, there is good evidence for the effect of perceived cultural norms","Yes",6,7,7,7,0,0,0,0,0,0,0,"","","Yes","",0,0,10195,10195,0.231,0.213,0.249,"beta",0.065,0.045,0.085,"beta","","","","Social Psychology",9,10,4,0,6
47,"2020-11-23 15:05:55","Yes, I consent",2,"psycholinguistics","Assistant professor",1,4,5,6,"psycholinguistics","preregistration","2020-12-22 15:14:07","Standardized regression coefficient","2021-02-23 10:26:56","linear regression, moderation analyses","To investigate whether religious people have higher mental well-being, we conducted a simple linear regression with mental well-being as outcome variable and religiosity as predictor. To investigate whether the relationship between religiosity and well-being depends on perceived cultural norms of religion, we conducted two simple moderator analyses using PROCESS (Hayes, 2013). For both analyses, the outcome variable was mental well-being and the predictor variable was religiosity. The moderator variable evaluated for the first analysis was participants’ perception of the extent to which the average person in their country considers a religious lifestyle (cnorm_1). That of the second analysis was participants’ perception of the extent to which the average person in their country considers belief in God/Gods/spirits important (c_norm 2). ","We calculated the mean score of all items of the World Values Survey (WVS), except for item 4, as a measure of religiosity. Item 4 was left out because this item was only presented to people who indicated to belong to a religious denomination. As a result, there were 5676 missing cases for this item. The mean score of the remaining items was a value between 0-1. ","We calculated the mean score of the six items for psychological well-being of the WHOQoL questionnaire as a measure of mental well-being. We focused on psychological well-being because the effect of religiosity on other aspects of well-being cannot be motivated by the provided theoretical background.","None","R2","0.036","<.001","None","Yes, there is good evidence for a positive relation","Yes",5,"We calculated the mean score of the six items for psychological well-being of the WHOQoL questionnaire as a measure of mental well-being. We focused on psychological well-being because the effect of religiosity on other aspects of well-being cannot be motivated by the provided theoretical background. In addition, perceived cultural norms of religion were measured by two items assessing participants’ perception of the extent to which the average person in their country considers a religious lifestyle (cnorm_1) and belief in God/Gods/spirits important (cnorm_2), respectively. Perceived cultural norms served as moderators in our analyses.","We calculated the mean score of all items of the World Values Survey (WVS), except for item 4, as a measure of religiosity. Item 4 was left out because this item was only presented to people who indicated to belong to a religious denomination. As a result, there were 5676 missing cases for this item. The mean score of the remaining items was a value between 0-1. ","None but we included two moderators (see operationalization of independent variables)","B","0.345 and 0.245","0","We conducted two moderation analyses. The p-value of the second analysis was .0016 (so < .01). Somehow I can only leave one p value in the text box of the previous question, that's why I report this information here. ","Yes, there is good evidence for the effect of perceived cultural norms","Yes",5,5,4,4,1,0,0,1,0,0,0,"In our preregistration we mistakenly took the predicted variable (mental well-being) for the predictor (religiosity). As is clear from our research question, we investigated whether religiosity predicted mental well-being. Therefore, the analyses were conducted with religiosity as predictor and mental well-being is the dependent (or outcome) variable. Also, we preregistered to check for normal distribution of our dependent and independent variables. However, this is not a requirement for a regression analysis. Therefore, we did not check this assumption.","/","Yes","",0,1,10195,10195,0.19,0.171,0.209,"beta",0.038,0.02,0.056,"beta","","cnorm2: 0.030 [0.012,0.049]","","Cognition",38,11,6,2,7
48,"2020-11-20 15:24:59","Yes, I consent",1,"Clinical & Psychology of Religion","Associate professor",4,4,6,3,"Clinical & Psychology of Religion","preregistration","2020-12-03 16:50:02"," standardized regression coefficient (beta) + confidence/credible interval","2020-12-09 16:46:06","multilevel linear regression models","","Sum of rel_1 rel_2 rel_5 rel_6  rel_7 rel_8 rel_9 for each individual centered on their country's mean, with county-level mean also included in the model as a country-level predictor","wb_psych_mean","country-level cultural norms (mean cnorm_1 + cnorm_2 for each country)","regression coefficient",".069 [.05400877, .08453355]","0.00000000643","Country level religiosity did not correlate with country-level wellbeing B = .12, SE .18, P = .50","Yes, there is good evidence for a positive relation","Yes",6,"interaction between individual religiosity (r1-r9 summed & centered) and mean country cultural norm (cnorm_1 + cnorm_2)","wb_psych_mean","none","regression coefficient (beta)",".03199 [-.0156067303, .07889471]","0.1974","","No, there is good evidence against the effect of perceived cultural norms","No",2,6,7,7,0,0,0,0,0,0,0,"","","Yes","",0,0,10535,10535,0.18,0.14,0.22,"beta",0.03,-0.01,0.06,"beta","","","","Health; Religion and Culture",4,9,3,0,6
49,"2020-11-26 14:54:56","Yes, I consent",1,"neuroscience","Assistant professor",2,4,5,2,"neuroscience","blinding","2020-12-22 18:06:08","standardized regression coefficient + confidence interval","2020-12-23 10:08:58","mixed-effects linear regression","mixed-effects linear regression with random intercept and slope for country","To define “religious people”, I used the item rel_3. I collapsed categories 2 and 3 (non-religious and atheist) to compare religious vs non-religious people.","To define “well-being”, I used the item wb_overall_mean.","age and country","standardised regression coefficient","0.12 [0.08, 0.17]","not calculated","","Yes, there is good evidence for a positive relation","Yes",4,"same as RQ1","same as RQ1","To define “perceived cultural norms of religion”, I took the average of variables cnorm_1 and cnorm_2. Also I included age and country, as for RQ1.","standardised regression coefficient ","0.04 [0.02, 0.07]","999","","Yes, there is good evidence for the effect of perceived cultural norms","Yes",4,6,2,2,0,0,0,0,0,0,0,"","I did not calculate p-values nor Bayes factors. For RQ1, I indicated this in the form. For RQ2, the form accepted only a number as response, so I entered ""999"". ","Yes","",0,0,10535,10535,0.2,0.13,0.28,"beta",0.07,0.03,0.12,"beta","","","","Cognition",7,5,5,0,4
